"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7890","reproductor_live_controles_visibles_al_tocar","Reproductor Live — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","8117","reproductor_live_tab_en_vivo_visible","Reproductor Live — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","845","navegacion_click_boton_menu","Navegación Inferior — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","5032","reproductor_live_programacion_hoy_visible","Reproductor Live — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","10994","navegacion_boton_explorar_visible","Navegación Inferior — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","4974","programacion_tab_ayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","12416","radio_tvn_radio_clickeable","Estaciones Radio — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","5550","programacion_tab_hoy_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","6608","navegacion_click_boton_buscar","Navegación Inferior — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","15363","navegacion_boton_inicio_visible","Navegación Inferior — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","11062","navegacion_boton_menu_visible","Navegación Inferior — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","4486","programacion_tab_anteayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","5169","modo_offline_app_no_crashea_sin_conexion","Modo Offline — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","21298","reproductor_live_sin_pantalla_de_error","Reproductor Live — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","2720","modo_offline_muestra_mensaje_sin_conexion","Modo Offline — tvnPass Android","2026-04-23","failed","2026-04-23","","","",""
"","6545","programacion_ver_todo_clickeable","Navegación Programación — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","8363","reproductor_live_carga_player_en_pantalla","Reproductor Live — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","8855","modo_offline_recupera_al_restaurar_conexion","Modo Offline — tvnPass Android","2026-04-23","failed","2026-04-23","","","",""
"","4031","programacion_tab_manana_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","9209","navegacion_boton_buscar_visible","Navegación Inferior — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","7244","radio_seccion_estaciones_visible","Estaciones Radio — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
"","8231","radio_tvn_radio_click","Estaciones Radio — tvnPass Android","2026-04-23","passed","2026-04-23","","","",""
